emp_id,rating,review_date
E001,5,2015-10-04
E002,4,2024-01-01
E003,4,2024-01-01
E004,4,2025-07-13
E005,5,2024-07-19
E006,4,2024-01-01
E007,5,2024-01-01
E008,3,2024-01-01
E009,1,2024-01-01
E010,4,2024-01-01
E011,4,2024-01-01
E012,1,2020-10-22
E013,4,2024-01-01
E014,3,2021-11-08
E015,1,2022-01-23
E016,2,2024-01-01
E017,4,2024-01-01
E018,4,2021-06-14
E019,1,2024-01-01
E020,2,2024-01-01
E021,2,2024-01-01
E022,5,2024-01-01
E023,4,2024-01-01
E024,4,2024-01-01
E025,3,2024-01-01
E026,3,2021-09-09
E027,1,2024-01-01
E028,1,2020-06-21
E029,4,2015-11-29
E030,2,2016-03-27
E031,2,2024-01-01
E032,5,2022-01-10
E033,1,2024-01-01
E034,3,2024-01-01
E035,2,2024-01-01
E036,1,2019-07-05
E037,4,2024-01-01
E038,3,2024-01-01
E039,1,2024-01-01
E040,4,2024-01-01
E041,1,2024-01-01
E042,4,2024-01-01
E043,5,2024-01-01
E044,2,2024-01-01
E045,5,2024-01-01
E046,1,2024-01-01
E047,1,2024-01-01
E048,4,2024-01-01
E049,5,2024-01-01
E050,4,2024-01-01
E051,3,2024-01-01
E052,4,2024-01-01
E053,5,2024-01-01
E054,1,2021-10-27
E055,1,2023-12-03
E056,5,2024-01-01
E057,2,2024-01-01
E058,4,2017-08-15
E059,2,2024-01-01
E060,3,2024-01-01
E061,4,2024-01-01
E062,2,2024-01-01
E063,5,2024-01-01
E064,4,2024-01-01
E065,2,2020-03-29
E066,1,2024-01-01
E067,2,2024-01-01
E068,5,2024-01-01
E069,4,2024-01-01
E070,3,2022-01-14
E071,5,2024-01-01
E072,1,2020-01-04
E073,3,2024-01-01
E074,3,2024-01-01
E075,1,2024-01-01
E076,5,2021-04-03
E077,2,2024-01-01
E078,4,2024-10-15
E079,4,2024-01-01
E080,4,2024-01-01
E081,4,2024-01-01
E082,1,2015-08-04
E083,4,2024-01-01
E084,4,2024-01-01
E085,1,2020-04-27
E086,1,2024-01-01
E087,5,2019-08-06
E088,4,2024-01-01
E089,5,2022-06-21
E090,4,2021-11-26
E091,5,2024-01-01
E092,3,2024-01-01
E093,4,2024-01-01
E094,5,2022-08-30
E095,1,2017-01-28
E096,1,2019-09-01
E097,4,2024-01-01
E098,3,2016-02-07
E099,2,2024-01-01
E100,5,2024-01-01
