emp_id,survey_score,survey_date
E001,9,2015-11-03
E002,7,2024-01-31
E003,9,2024-01-31
E004,8,2025-08-12
E005,9,2024-08-18
E006,10,2024-01-31
E007,9,2024-01-31
E008,5,2024-01-31
E009,3,2024-01-31
E010,8,2024-01-31
E011,10,2024-01-31
E012,4,2020-11-21
E013,8,2024-01-31
E014,6,2021-12-08
E015,5,2022-02-22
E016,4,2024-01-31
E017,8,2024-01-31
E018,10,2021-07-14
E019,3,2024-01-31
E020,4,2024-01-31
E021,3,2024-01-31
E022,9,2024-01-31
E023,9,2024-01-31
E024,9,2024-01-31
E025,7,2024-01-31
E026,6,2021-10-09
E027,2,2024-01-31
E028,5,2020-07-21
E029,9,2015-12-29
E030,3,2016-04-26
E031,3,2024-01-31
E032,8,2022-02-09
E033,5,2024-01-31
E034,7,2024-01-31
E035,4,2024-01-31
E036,5,2019-08-04
E037,10,2024-01-31
E038,5,2024-01-31
E039,3,2024-01-31
E040,7,2024-01-31
E041,4,2024-01-31
E042,7,2024-01-31
E043,7,2024-01-31
E044,2,2024-01-31
E045,9,2024-01-31
E046,2,2024-01-31
E047,5,2024-01-31
E048,8,2024-01-31
E049,10,2024-01-31
E050,10,2024-01-31
E051,7,2024-01-31
E052,9,2024-01-31
E053,7,2024-01-31
E054,2,2021-11-26
E055,2,2024-01-02
E056,7,2024-01-31
E057,1,2024-01-31
E058,10,2017-09-14
E059,3,2024-01-31
E060,7,2024-01-31
E061,7,2024-01-31
E062,3,2024-01-31
E063,8,2024-01-31
E064,7,2024-01-31
E065,2,2020-04-28
E066,1,2024-01-31
E067,3,2024-01-31
E068,9,2024-01-31
E069,7,2024-01-31
E070,7,2022-02-13
E071,10,2024-01-31
E072,5,2020-02-03
E073,7,2024-01-31
E074,5,2024-01-31
E075,2,2024-01-31
E076,7,2021-05-03
E077,4,2024-01-31
E078,9,2024-11-14
E079,7,2024-01-31
E080,9,2024-01-31
E081,9,2024-01-31
E082,2,2015-09-03
E083,9,2024-01-31
E084,7,2024-01-31
E085,3,2020-05-27
E086,4,2024-01-31
E087,7,2019-09-05
E088,7,2024-01-31
E089,9,2022-07-21
E090,7,2021-12-26
E091,8,2024-01-31
E092,6,2024-01-31
E093,7,2024-01-31
E094,8,2022-09-29
E095,5,2017-02-27
E096,4,2019-10-01
E097,9,2024-01-31
E098,6,2016-03-08
E099,4,2024-01-31
E100,8,2024-01-31
